#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
30.154	30.460	16.287	16.484	274.954	705.980	726.616	996.318
30.460	30.765	16.484	16.681	142.881	182.525	361.742	590.604
30.765	31.071	16.681	16.878	90.792	141.980	255.087	437.911
31.071	31.377	16.878	17.075	87.155	189.712	300.344	411.948
31.377	31.670	17.075	17.263	50.128	166.167	160.765	204.197
31.670	31.963	17.263	17.451	45.979	201.399	194.337	264.857
31.963	32.255	17.451	17.639	18.573	48.366	25.147	220.697
32.255	32.548	17.639	17.827	15.774	46.767	0.759	226.414
32.548	32.841	17.827	18.015	15.774	46.767	0.759	226.414
32.841	33.134	18.015	18.203	15.467	36.868	22.975	207.364
33.134	33.454	18.203	18.418	183.164	562.337	447.010	1049.999
33.454	33.775	18.418	18.632	49.681	43.295	137.048	180.578
33.775	34.096	18.632	18.847	299.287	458.729	654.536	893.130
34.096	34.417	18.847	19.061	296.148	586.875	608.141	992.934
34.417	34.737	19.061	19.276	173.767	151.663	279.137	270.354
34.737	35.058	19.276	19.49	142.799	269.515	217.888	320.860
35.058	35.211	19.49	19.592	32.042	85.486	123.635	420.090
35.211	35.364	19.592	19.693	16.278	19.600	136.011	166.200
35.364	35.518	19.693	19.795	15.748	19.407	174.666	225.672
35.518	35.671	19.795	19.896	17.008	22.931	61.868	95.984
35.671	35.824	19.896	19.997	22.340	21.909	88.834	155.678
35.824	35.977	19.997	20.099	19.389	18.049	89.503	160.983
35.977	36.305	20.099	20.327	77.921	128.038	255.027	418.120
36.305	36.634	20.327	20.554	213.293	374.767	568.728	840.592
36.634	36.962	20.554	20.782	311.445	487.529	626.533	843.815
36.962	37.290	20.782	21.01	188.471	128.852	430.803	530.684
37.290	37.618	21.01	21.237	124.530	128.416	246.576	362.336
37.618	37.946	21.237	21.465	59.959	113.256	259.759	397.649
37.946	38.016	21.465	21.515	23.212	31.301	261.575	256.653
38.016	38.086	21.515	21.564	82.596	74.252	196.781	506.401
38.086	38.157	21.564	21.614	23.772	54.934	204.188	186.080
38.157	38.227	21.614	21.664	46.707	137.374	187.636	244.123
38.227	38.297	21.664	21.714	55.893	167.235	166.078	249.332
38.297	38.367	21.714	21.763	55.917	161.263	137.450	214.816
38.367	38.592	21.763	21.921	230.211	444.356	604.045	1061.572
38.592	38.817	21.921	22.078	220.272	270.580	514.523	748.628
38.817	39.042	22.078	22.236	150.773	197.597	426.377	472.613
39.042	39.267	22.236	22.394	144.910	201.516	386.112	356.647
39.267	39.491	22.394	22.551	144.403	263.294	312.369	589.661
39.491	39.716	22.551	22.709	67.879	81.906	232.861	320.474
39.716	39.775	22.709	22.751	32.637	25.589	104.158	127.422
39.775	39.834	22.751	22.794	26.603	21.863	102.810	149.170
39.834	39.893	22.794	22.836	19.177	17.277	101.151	175.936
39.893	39.951	22.836	22.879	16.514	21.298	149.248	212.197
39.951	40.010	22.879	22.921	29.450	41.289	241.634	274.215
40.010	40.069	22.921	22.964	45.613	65.527	350.954	347.239
40.069	40.208	22.964	23.066	118.116	172.227	335.673	494.296
