#Year Nh4[ppb] No3[ppb] So4[ppb]
1795 31.2002638297872 107.586940425532 109.268965957447
1794 40.8010711538462 94.2428557692308 93.4167865384616
1793 63.6851867469879 146.899180722891 103.093613253012
1792 42.9328666666667 112.563112698413 99.8148555555556
1791 22.3106463414634 76.7064853658537 66.6043390243902
1790 31.3794 122.46395 61.051
1789 39.1284607142857 88.4879392857144 82.6551089285715
1788 39.4278669064748 94.5928338129496 90.0865050359711
1787 43.5287721428571 105.123812142857 120.114575
1786 55.0481333333333 138.1448 163.108833333333
1785 48.607332038835 105.550447572815 125.056554368932
1784 39.2867902777778 103.146086111111 98.8108319444444
1783 47.5931390243903 84.4873609756097 73.9927560975609
1782 42.8529041666667 85.704238888889 83.9615208333334
1781 54.7294791666667 146.798915277778 122.426109722222
1780 64.4194042857143 130.113145714286 138.655026666667
1779 55.3296725352113 103.191157746479 108.48924084507
1778 49.3461777777778 124.887490849673 115.195903267974
1777 56.7056352941177 144.136530147059 149.725681617647
1776 40.90858 110.6457 126.35322
1775 41.0427925675675 105.507387837838 110.612187837838
1774 45.2945428571429 109.683408163265 110.045702040816
